College Name,Location,Rating,Reviews,NIRF Ranking,College URL
NIT Jalandhar - Dr B R Ambedkar National Institute of Technology Jalandhar,N/A,4.0/5,284 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/university/dr-b-r-ambedkar-national-institute-of-technology-jalandhar/mtech-electronics-and-communication-engineering-course
"Govind Ballabh Pant University of Agriculture and Technology, Pantnagar (GBPUAT Pantnagar) - Govind Ballabh Pant University of Agriculture and Technology, Pantnagar",N/A,4.5/5,33 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/colleges/college-of-technology-gb-pant-university-of-agriculture-and-technology-pantnagar/mtech-soil-and-water-conservation-engineering-cour
"GGSIPU Delhi - Guru Gobind Singh Indraprastha University, Delhi",N/A,4.2/5,118 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/colleges/vivekananda-school-of-information-technology-delhi/mca-course
IIEST Shibpur - Indian Institute of Engineering Science and Technology Shibpur,N/A,4.3/5,141 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/university/indian-institute-of-engineering-science-and-technology-shibpur/msc-applied-geology-course
"IIST Thiruvananthapuram - Indian Institute of Space Science and Technology, Thiruvananthapuram",N/A,4.5/5,15 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/university/indian-institute-of-space-science-and-technology-thiruvananthapuram/mtech-aerodynamics-and-flight-mechanics-course
IIT Bhubaneswar - Indian Institute of Technology Bhubaneswar,N/A,4.3/5,32 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/university/indian-institute-of-technology-bhubaneswar/mtech-computer-science-engineering-course
IIT Palakkad - Indian Institute of Technology Palakkad,N/A,4.1/5,21 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/university/indian-institute-of-technology-palakkad/msc-chemistry-course
IIT Tirupati - Indian Institute of Technology Tirupati,N/A,4.6/5,16 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/university/indian-institute-of-technology-tirupati/mtech-computer-science-and-engineering-course
"IIIT Hyderabad - International Institute of Information Technology, Hyderabad",N/A,4.5/5,34 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/university/international-institute-of-information-technology-hyderabad/mtech-computer-science-and-engineering-course
"Jain Deemed to be University, Bangalore - Jain Deemed to be University, Bangalore",N/A,4.1/5,128 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/university/jain-deemed-be-university-bangalore/mca-course
"MMMUT Gorakhpur - Madan Mohan Malaviya University of Technology, Gorakhpur",N/A,4.2/5,185 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/university/madan-mohan-malaviya-university-of-technology-gorakhpur/mca-course
"Madurai Kamaraj University - Madurai Kamaraj University, Madurai",N/A,4.2/5,28 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/colleges/fatima-college-madurai/mca-self-finance-course
"MMU Ambala - Maharishi Markandeshwar University, Ambala",N/A,3.5/5,33 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/colleges/maharishi-markandeshwar-institute-of-medical-sciences-and-research-mullana/ms-general-surgery-course
"MRIIRS Faridabad - Manav Rachna International Institute of Research and Studies, Faridabad",N/A,3.7/5,116 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/colleges/school-of-computer-applications-manav-rachna-international-institute-of-research-and-studies-faridabad/mca-course
"Manipal University, Jaipur",N/A,4.2/5,402 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/colleges/online-manipal/mca-online-course
"Manonmaniam Sundaranar University, Tirunelveli",N/A,5.0/5,1 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/colleges/south-travancore-hindu-college-nagercoil/mca-self-finance-course
"Mizoram University, Aizawl",N/A,4.3/5,11 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/colleges/national-institute-of-electronics-and-information-technology-aizawl/mca-course
NIT Patna - National Institute of Technology Patna,N/A,4.0/5,67 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/university/national-institute-of-technology-patna/mtech-communication-systems-course
NIT Raipur - National Institute of Technology Raipur,N/A,4.0/5,185 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/university/national-institute-of-technology-raipur/mca-course
NIT Srinagar - National Institute of Technology Srinagar,N/A,3.9/5,42 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/university/national-institute-of-technology-srinagar/mtech-electrical-power-and-energy-systems-course
"NSUT Delhi - Netaji Subhas University of Technology, New Delhi",N/A,4.3/5,220 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/colleges/netaji-subhas-university-of-technology-west-campus-delhi/mtech-structural-engineering-course
"Pondicherry University - Pondicherry University, Puducherry",N/A,4.5/5,90 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/colleges/sri-manakula-vinayagar-engineering-college-puducherry/mca-course
"PSG Tech Coimbatore - PSG College of Technology, Coimbatore",N/A,4.5/5,133 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/colleges/psg-college-of-technology-coimbatore/mca-course
"MSRIT Bangalore - Ramaiah Institute of Technology, Bangalore",N/A,4.1/5,135 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/colleges/ramaiah-institute-of-technology-bangalore/mca-course
"SLIET - Sant Longowal Institute of Engineering and Technology, Longowal",N/A,4.5/5,300 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/university/sant-longowal-institute-of-engineering-and-technology-longowal/mtech-manufacturing-systems-engineering-course
"Sharda University - Sharda University, Greater Noida",N/A,4.3/5,272 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/colleges/school-of-medical-sciences-and-research-greater-noida/ms-general-surgery-course
"Sri Balaji Vidyapeeth, Pondicherry",N/A,N/A,N/A,NIRF Ranking: 101-150,https://www.careers360.com/colleges/mahatma-gandhi-medical-college-and-research-institute-pondicherry/ms-general-surgery-course
"TNAU Coimbatore - Tamil Nadu Agricultural University, Coimbatore",N/A,3.6/5,8 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/colleges/agricultural-engineering-college-and-research-institute-coimbatore/mtech-agricultural-engineering-course
"Tezpur University - Tezpur University, Tezpur",N/A,4.1/5,46 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/university/tezpur-university-tezpur/mca-course
"UCMS Delhi - University College of Medical Sciences, University of Delhi, Delhi",N/A,4.9/5,13 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/colleges/university-college-of-medical-sciences-university-of-delhi-delhi/ms-general-surgery-course
"Calicut University - University of Calicut, Malappuram",N/A,4.3/5,3 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/colleges/institute-of-management-and-technology-westfort-higher-education-trust-pottore/mca-course
"Mumbai University - University of Mumbai, Mumbai",N/A,4.0/5,39 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/colleges/thakur-institute-of-management-studies-career-development-and-research-mumbai/mca-course
"Vignan's Foundation for Science Technology and Research, Guntur",N/A,4.1/5,69 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/university/vignans-foundation-for-science-technology-and-research-guntur/mca-course
"Visvesvaraya Technological University, Belagavi",N/A,4.8/5,24 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/university/visvesvaraya-technological-university-belagavi/mca-course
"ANGRAU Guntur - Acharya NG Ranga Agricultural University, Guntur",N/A,3.9/5,6 Reviews,NIRF Ranking: 151-200,https://www.careers360.com/colleges/sv-agricultural-college-tirupati/msc-genetics-and-plant-breeding-course
"Amity University Gurgaon - Amity University, Gurugram",N/A,4.3/5,216 Reviews,NIRF Ranking: 151-200,https://www.careers360.com/university/amity-university-gurugram/msc-community-health-nursing-course
"Amity University, Kolkata",N/A,4.6/5,75 Reviews,NIRF Ranking: 151-200,https://www.careers360.com/university/amity-university-kolkata/phd-travel-and-tourism-part-time-course
"Annamalai University - Annamalai University, Annamalai Nagar",N/A,4.1/5,23 Reviews,NIRF Ranking: 151-200,https://www.careers360.com/colleges/dr-rk-shanmugam-college-of-arts-and-science-kallakurichi/msc-mathematics-course
